Award Name,Level Of Study,Award Type,Award Amount,Deadline
"Northwest Star Legacy Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
"Ada I. Pressman Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",February
"Liebherr Mining – Sophomore Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
"Green, Thompson, & Labunksi Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",February
"Brill Family Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",February
"Olga Aparicio Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",February
"Central New Mexico – Reentry Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: Applicant must be a person who identifies as female/women; must be an incoming freshman through graduate student studying engineering at an ABET-accredited program; must be a full-time student (exceptions made for re-entry/non-traditional students).",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
"Barbara W. & Thomas W. Benko Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",
"Susan and Marvin Whatley Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
"Carol Stephens SWE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
"Western District fellowship
                                            


                                            Organization:
                                             Institute of Transportation Engineers 


                                            Purposes: To support students wishing to pursue a graduate study in transportation engineering.",Graduate Degree,Fellowship,"$1,000",September
"Injection Molding Division Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",April
"Thermoplastic Elastomers Special Interest Group Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",April
"Fleming-Blaszcak Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To promote scientific and engineering knowledge relating to plastics, as well as to encourage Mexican-American students in the plastics field.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,April
"Carrie Fox Solin and Future Blow Molding Professionals Internship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support student members of the Society of Plastics Engineers (SPE) who have accepted an internship in blow molding within the plastics industry.",Bachelor's Degree,Scholarship,"$3,000",May
"Thermoforming Division Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",April
"Robert E. Cramer Product Design & Development Division
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree,Scholarship,"$1,000",April
"AES Graduate Studies Grants
                                            


                                            Organization:
                                             Audio Engineering Society, Inc. 


                                            Purposes: To encourage the entry of talented students into the profession of audio engineering and related fields.",Bachelor's Degree  Graduate Degree,Grant  Prize,N/A,May
"Nancy and George Kiedaisch Scholarship
                                            


                                            Organization:
                                             Parkersburg Area Community Foundation 


                                            Purposes: To assist Ritchie County High School graduating seniors pursuing vocational, technical, or trade school programs.",Bachelor's Degree  Vocational,Scholarship,N/A,March
"Lois Aileen Bey Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",March
"Charbonneau Family Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",February
"Mary Jones Berry Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Graduate Degree,Scholarship,"$1,500",February
"Amateur Radio Digital Communications Scholarship - Sophomore to
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$7,500",February
"Anne Maureen Whitney Barrow Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$9,000",March
"Salvatore J. Monte Thermoplastic Materials & Foams Division
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree,Scholarship,"$2,500",April
"Polymer Modifiers and Additives Division (PMAD) Scholarship (PMAD)
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",April
"Jill S. Tietjen, P.E., Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,250",February
"Triumph Group for Diversity and Inclusion
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
"SWE Heartland 1 Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
"SWE Baltimore-Washington Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
"Meritage Homes Scholarship Fund
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",February
"Liebherr Mining – Freshman Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",March
"MASWE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$6,750",February
"Liebherr Mining – Senior Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
"Intel Undergraduate Diversity Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",February
"Intel Graduate Diversity Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Graduate Degree,Scholarship,"$10,000",February
"Admiral Grace Murray Hopper Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,100",March
"Mary Gunther Memorial Upperclass Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$7,000",February
"Katherine F. Lindquist Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",March
"Honeywell Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",February
"Dorothy P. Morris Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
"Invenergy Women’s Network Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,500",February
"Ellen Hippeli Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",March
"B.J. Harrod Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,000",March
"Cummins First Generation Women of Color
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",
"Golden West Region Legacy Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
"Ford Motor Company Scholarship (Sophomore)
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,250",February
"Virginia Counts – Betty Irish SWE for Life Endowed Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
"ExxonMobil Foundation Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
"Eaton STEM Scholar Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",February
"Melanie Clampitt Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,000",March
"SWE Baltimore-Washington Section Freshman Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",March
"SWE Heartland 2 Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",February
"Gary Stegeman Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Graduate Degree,Scholarship,"$4,000",February
"RS&H Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",February
"Sonora Region B Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,000",February
"Judy Simmons Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
"Judith Resnik Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$4,000",February
"Raytheon Technologies SWE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",February
"Past Presidents Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$6,500",February
"Margaret (Pritch) Pritchard Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",
"Anne Shen Smith Endowed Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
"Mary V. Munger Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$6,750",February
"SPE Foundation General Scholarships
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support students who have demonstrated or expressed an interest in the plastics industry.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,April
"Transoft Solutions, Inc. Ahead of the Curve Scholarship (AOTC)
                                            


                                            Organization:
                                             Institute of Transportation Engineers 


                                            Purposes: To encourage students to pursue studies in transportation and/or traffic engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",April
"SBE/Ennes Youth Scholarships
                                            


                                            Organization:
                                             Society of Broadcast Engineers 


                                            Purposes: To provide educational fund to deserving candidates who aspire to a career in the technical aspects of broadcasting.",N/A,Scholarship,"$1,500",July
"Harold E. Ennes Scholarship
                                            


                                            Organization:
                                             Society of Broadcast Engineers 


                                            Purposes: To provide assistance for candidates who aspire to a career in the technical aspects of broadcasting.",Bachelor's Degree  Graduate Degree  High School,Scholarship,"$1,000  $1,500",July
"Gunter Mecking Memorial Scholarship
                                            


                                            Organization:
                                             Horticultural Research Institute 


                                            Purposes: To support students pursuing degrees in horticulture and related fields.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",June
"Cornell Botanic Gardens Student Summer Internships
                                            


                                            Organization:
                                             Cornell Botanic Gardens  Cornell University College of Agriculture and Life Sciences 


                                            Purposes: To provide an educational and work experience involving hands-on training that builds on classroom learning and represents the full spectrum of work throughout the organization.",Bachelor's Degree  Graduate Degree,N/A,$15,May
"Wright Family of Alabama Scholarship
                                            


                                            Organization:
                                             Horticultural Research Institute 


                                            Purposes: To support students pursuing degrees in horticulture and related fields.",Associate Degree  Bachelor's Degree  Graduate Degree  High School  Professional Development  Vocational,Scholarship,"$2,000",June
"Kluge Fellowships
                                            


                                            Organization:
                                             John W. Kluge Center at the Library of Congress 


                                            Purposes: To encourages humanistic and social science research that makes use of the Library's large and varied collections.",Graduate Degree  Professional Development,Fellowship,"$5,000",September
"The Garden Club Council of Winston-Salem and Forsyth County
                                            


                                            Organization:
                                             Winston-Salem Foundation 


                                            Purposes: To provide financial support to students in the Foundation's service area who plan to pursue post-secondary degrees in horticulture or landscape curriculums.",Associate Degree  Bachelor's Degree  Vocational,Scholarship,N/A,March
"Susie & Bruce Usrey Education Scholarship
                                            


                                            Organization:
                                             Horticultural Research Institute 


                                            Purposes: To horticulture students enrolled in a California state university or college.",Bachelor's Degree  Graduate Degree,Scholarship,$500,February
"Charles Abrams Scholarship
                                            


                                            Organization:
                                             American Planning Association 


                                            Purposes: To aid students who will pursue careers as practicing planners.",Graduate Degree,Scholarship,"$2,000",
"Rain Bird Intelligent Use of Water Scholarship
                                            


                                            Organization:
                                             Rain Bird Corporation 


                                            Purposes: To support an outstanding landscape architecture, horticulture or irrigation science student.",Bachelor's Degree,Scholarship,"$2,500",February
"ITEEA Greer/FTE Grants
                                            


                                            Organization:
                                             International Technology and Engineering Educators Association 


                                            Purposes: To recognize and encourage individual achievement and ability in any aspect of technology and engineering.",N/A,Grant,"$1,000",
"Charles LeGeyt Fortescue Scholarship
                                            


                                            Organization:
                                             Institute of Electrical and Electronics Engineers 


                                            Purposes: To recognize of his valuable contributions to the field of electrical engineering.",Bachelor's Degree  Graduate Degree  Professional Development,Prize  Scholarship,"$24,000",May
"Burke Supervision and Shared Leadership Scholarship
                                            


                                            Organization:
                                             International Technology and Engineering Educators Association 


                                            Purposes: To disseminate best practices about Technology and Engineering education to non-traditional audiences through participation and presentation in major annual conferences.",Professional Development,Scholarship,$500,November
"MAES Presidential Scholarship
                                            


                                            Organization:
                                             MAES: Latinos in Science and Engineering 


                                            Purposes: To increase the number of Latino students completing their higher education goals and are awarded to student members in the fields of Science, Technology, Engineering, and Mathematics.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,March
"UPS Scholarship for Female Students
                                            


                                            Organization:
                                             Institute of Industrial and Systems Engineers 


                                            Purposes: To support the education of female industrial engineering students.",Bachelor's Degree,Scholarship,"$4,000",
"Gilbreth Memorial Fellowship
                                            


                                            Organization:
                                             Institute of Industrial and Systems Engineers 


                                            Purposes: To support students pursuing graduate degrees in industrial engineering or its equivalent.",Graduate Degree,Fellowship,"$1,000  $3,000",November
"John S.W. Fargher, Jr. Scholarship
                                            


                                            Organization:
                                             Institute of Industrial and Systems Engineers 


                                            Purposes: To support students academic excellence and noteworthy contribution to the development of the industrial engineering profession.",Graduate Degree,Scholarship,"$1,000",November
"Claussen/FTEE Memorial Scholarship
                                            


                                            Organization:
                                             International Technology and Engineering Educators Association 


                                            Purposes: To encourage professional development participation of undergraduate junior and senior TEECA members at the annual ITEEA Conference.",Bachelor's Degree,Scholarship,N/A,November
"Chapter 23 - Quad Cities Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students who are pursuing manufacturing engineering, industrial engineering, manufacturing technology, or integrated manufacturing systems.",Bachelor's Degree,Scholarship,N/A,February
"Walt Bartram Memorial Education Award
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To assist students in Arizona, New Mexico, and Southern California who are pursuing manufacturing engineering or related fields.",Bachelor's Degree,Prize,N/A,February
"Chapter 67 - Phoenix Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students seeking degrees in manufacturing engineering, industrial engineering, manufacturing technology programs, or closely related fields.",Bachelor's Degree,Scholarship,N/A,February
"Myrtle & Earl Walker Scholarships
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide students the assistance they need in studying manufacturing engineering or technology.",Bachelor's Degree,Scholarship,N/A,February
"SME Directors Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To assist undergraduate students pursuing degrees in manufacturing engineering or related fields.",Bachelor's Degree,Prize,N/A,February
"Joseph F. Novek Outstanding Leader Award
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To recognize and support students who exhibited such qualities similar to the namesake of the award in their academic and professional lives.",Associate Degree  Bachelor's Degree  Graduate Degree,Scholarship,N/A,February
